"id","kind","item","owner","evidence_location","completion_claim","note","anchor","line","fingerprint"
"list.1_purpose_and_decision.40.6","task","Skills access only to contract-approved structured execution and tool telemetry","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#list.1_purpose_and_decision.40.6","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","list.1_purpose_and_decision.40.6","40","cd9844c1a7cd50b0e186cc74572e93fba3380730e96ca89e19574fa88788a093"
"list.1_purpose_and_decision.41.7","task","separate credentials, scopes, flags, state, outboxes, health, telemetry, retention, rollout, rollback, and evidence windows","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#list.1_purpose_and_decision.41.7","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","list.1_purpose_and_decision.41.7","41","77c765f66ecc8e7811ac77f2272b2a4e7d2f37f10704051264460f08175c4b03"
"list.1_purpose_and_decision.42.8","task","Platform-owned identity, claims, credential lifecycle, infrastructure, secret injection, migrations, generic Librarian hosting, and audit","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#list.1_purpose_and_decision.42.8","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","list.1_purpose_and_decision.42.8","42","53d028c926fb87bbb9a5c3da27458f6010446d1ec58e8d266186c5c8ca5ce783"
"list.1_purpose_and_decision.43.9","task","OpenClaw-owned plugin implementation, Lisa profile integration, tests, rollout, and operational evidence","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#list.1_purpose_and_decision.43.9","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","list.1_purpose_and_decision.43.9","43","99e2ce9998bf744187b83f91a11b88cc94140e93c30b38cc2787b64cf8a6adbe"
"prose.1_purpose_and_decision.45.1","evidence_requirement","This is an additive Phase 1 integration. It preserves Lisa's existing local memory, compaction, sessions, cron, channels, native skills, and Program authority. LiNKbrain becomes an additional institutional-memory and coordination capability. LiNKskills becomes a separate governed skill discovery and execution capability. Neither becomes a hidden replacement for an existing OpenClaw subsystem","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#prose.1_purpose_and_decision.45.1","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","prose.1_purpose_and_decision.45.1","45","04bddbd62d8e50f5c4fac975d28d245360c973884505cc62bae8de3d89d8932e"
"prose.1_purpose_and_decision.47.1","evidence_requirement","No product code, runtime configuration, credential, deployment, migration, or live service change is authorized by this document alone","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#prose.1_purpose_and_decision.47.1","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","prose.1_purpose_and_decision.47.1","47","e1006beabf3d78f8221895322aee522a427b81e73aabe8ad2ea35aee345475db"
"prose.2_frozen_inputs_and_source_hierarchy.51.1","evidence_requirement","Implementation must begin from the exact reviewed planning snapshots below. If a source changes, the owning team must provide a versioned contract delta before OpenClaw adopts it","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#prose.2_frozen_inputs_and_source_hierarchy.51.1","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","prose.2_frozen_inputs_and_source_hierarchy.51.1","51","9352a63345060ea7ba3ab96cfc52959a55544fecb4765188f0ead73ba876c4a1"
"source_hierarchy.1","evidence_requirement","1 | Principal decisions recorded in the OpenClaw planning session and handoffs | 2026-07-27 | Intent, privacy, ownership, rollout, and approval authority","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#source_hierarchy.1","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","source_hierarchy.1","55","6f92dddbef3401a7c8c35f888034d1b32ff40cec1d785735afdcb6faaef02f4b"
"source_hierarchy.2","evidence_requirement","2 | LiNKplatform shared-foundation detailed implementation plan | SHA-256 `fbcf36235c4caaa6abf7ee93afedeedf105a96f6614a3a3ff5ccb8d78e33c6b9` | Actor identity, claims, credentials, environments, infrastructure, migrations, audit, generic Librarian host","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#source_hierarchy.2","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","source_hierarchy.2","56","cd5e124786e8cc67a991fbdeefd95172f048ccd354d80b16e47e4f5a6735fec0"
"source_hierarchy.3","evidence_requirement","3 | LiNKbrain Phase 1 detailed implementation plan | SHA-256 `051caa80191639c06b2dee6fa4800e736ada30772a55ad84e12e5fa6a4e63458` | Brain Gateway, tools, capture, coordination, curation, failure, retention, and rollout contracts","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#source_hierarchy.3","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","source_hierarchy.3","57","3dda0ff8440d035679cd6cf173b68133277b04afe9bf8536f62279f8163c4dd1"
"source_hierarchy.4","evidence_requirement","4 | LiNKskills internal-launch detailed development plan | SHA-256 `31a6cc70bb778ce1dff236819e4bf600b0495dbb06c95bac55bcb2b0b2f5fe88` | Skills Gateway, immutable bundles, profiles, validation, telemetry, evidence, and rollout contracts","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#source_hierarchy.4","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","source_hierarchy.4","58","7f1c3eb33b5c40b46459700f147e94e3bd16cd65a3a59b11161f45c668b572b0"
"source_hierarchy.5","evidence_requirement","5 | Current OpenClaw source, tests, public plugin SDK, managed MCP, and operator documentation | OpenClaw `2026.7.2`, planning HEAD `ec90aa8cd119` | Available implementation seams and current Lisa integration behavior","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#source_hierarchy.5","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","source_hierarchy.5","59","8db0b7e43d1dee1583fa93faa6a3c1f5d30849ef2b1b8c81234b8ad121b9b56a"
"source_hierarchy.6","evidence_requirement","6 | This plan | 2026-07-27 | OpenClaw-specific sequencing, file ownership, tests, rollout, operations, and acceptance","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#source_hierarchy.6","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","source_hierarchy.6","60","095f0c1a765e3d57da02f3b338bcca811e0fe0bf822bc1c3430499c7530cf954"
"list.2_frozen_inputs_and_source_hierarchy.64.1","task","Stop the affected work item; do not silently reinterpret a frozen upstream boundary","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#list.2_frozen_inputs_and_source_hierarchy.64.1","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","list.2_frozen_inputs_and_source_hierarchy.64.1","64","69f72d72231af01b5420050b346bf48fb5651d0a221b74d7cde031834fe4974e"
"list.2_frozen_inputs_and_source_hierarchy.65.2","task","Record the exact contract, owner, consumer, and impact","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#list.2_frozen_inputs_and_source_hierarchy.65.2","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","list.2_frozen_inputs_and_source_hierarchy.65.2","65","a6f99150898639907aa2137e9ce2915804382282a8eaaba598b9be4ccbc075b7"
"list.2_frozen_inputs_and_source_hierarchy.66.3","task","Ask the owning upstream team for a narrow amendment or versioned delta","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#list.2_frozen_inputs_and_source_hierarchy.66.3","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","list.2_frozen_inputs_and_source_hierarchy.66.3","66","9caa88436e325074154860c550401e0521b72539237df948b4d760a2a1064068"
"list.2_frozen_inputs_and_source_hierarchy.67.4","task","Ask the Principal only when the conflict changes intent, privacy, risk, scope, ownership, cost, or definition of done","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#list.2_frozen_inputs_and_source_hierarchy.67.4","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","list.2_frozen_inputs_and_source_hierarchy.67.4","67","9805779ddbfc34de8bc54d28673668dc2cb78fc8f51a2b0e2aa5d46e03136616"
"list.2_frozen_inputs_and_source_hierarchy.68.5","task","Resume only after the decision is recorded in the appropriate plan and handoff","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#list.2_frozen_inputs_and_source_hierarchy.68.5","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","list.2_frozen_inputs_and_source_hierarchy.68.5","68","97f0e926f671f78ae0082d71234d30e0adbf3a8d42ed03641c50872bd8e5e626"
"prose.3_reconciliation_finding.72.1","evidence_requirement","The three upstream plans and current OpenClaw extension surfaces are mutually compatible. No upstream correction is required before implementation planning","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#prose.3_reconciliation_finding.72.1","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","prose.3_reconciliation_finding.72.1","72","eb72700b8cec6794ccc953058140aa636872a5355cd0920c9fbcae9bea1b3ea8"
"prose.3_reconciliation_finding.74.1","evidence_requirement","The apparent deployment dependency is resolved as follows:","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#prose.3_reconciliation_finding.74.1","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","prose.3_reconciliation_finding.74.1","74","402ea11d96a58f932fa01c7208ea56f77f5fd6f46164a97044f9ed60d00fcd9e"
"list.3_reconciliation_finding.76.1","task","Platform may provision a service, binding, and domain credential while the corresponding Lisa actor flag remains disabled","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#list.3_reconciliation_finding.76.1","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","list.3_reconciliation_finding.76.1","76","83d2eb5304b3b9e4de6e093a428b1b317d67bfb9fa50cb557e536c3a029bb003"
"list.3_reconciliation_finding.77.2","task","OpenClaw may implement and test each plugin against frozen fakes before a live Platform environment exists","Platform / Principal / Cursor maintenance (as labeled)","BLOCK: live/external gate named in plan item; OpenClaw fake-tier work is not live proof (docs/execution/openclawdevelopmentplan01/PHASE-13-PROVISIONAL-GROK-HANDOFF.md)","blocked","Label requires live/external proof beyond fake-tier OpenClaw work","list.3_reconciliation_finding.77.2","77","b004515851b5e6a1c523d4461af891d92e653e19253ec43e5e7f1d2df5663667"
"list.3_reconciliation_finding.78.3","task","Platform environment readiness is a gate for live stage proof, not for contract-first implementation","Platform / Principal / Cursor maintenance (as labeled)","BLOCK: live/external gate named in plan item; OpenClaw fake-tier work is not live proof (docs/execution/openclawdevelopmentplan01/PHASE-13-PROVISIONAL-GROK-HANDOFF.md)","blocked","Label requires live/external proof beyond fake-tier OpenClaw work","list.3_reconciliation_finding.78.3","78","85ad038ec5c3c6786f9e41d5e0339a5efeca016c8fcdd56bb2054589e8cbc58c"
"list.3_reconciliation_finding.79.4","task","Platform's domain milestone is not complete until the OpenClaw consumer canary succeeds","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#list.3_reconciliation_finding.79.4","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","list.3_reconciliation_finding.79.4","79","8f2a91f56ca2976bf1b0c5dd2aae4044cbf166bea7aff867a0264371dbbb9f4a"
"list.3_reconciliation_finding.80.5","task","Brain may reach production before Skills","Platform / Principal / Cursor maintenance (as labeled)","BLOCK: live/external gate named in plan item; OpenClaw fake-tier work is not live proof (docs/execution/openclawdevelopmentplan01/PHASE-13-PROVISIONAL-GROK-HANDOFF.md)","blocked","Label requires live/external proof beyond fake-tier OpenClaw work","list.3_reconciliation_finding.80.5","80","06076c97be019c1ba93f0f8afcbb56e38e859c16c1a4974e2cdb72d73c7453bd"
"list.3_reconciliation_finding.81.6","task","Skills may not begin the Lisa canary until the Cursor and Codex Skills readiness gates pass","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#list.3_reconciliation_finding.81.6","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","list.3_reconciliation_finding.81.6","81","c4b3d31152ea1770b28c4a5b48b65085b058452cd43343dc5a15601e713f071a"
"prose.3_reconciliation_finding.83.1","evidence_requirement","The remaining uncertainties are implementation gates, not unresolved architectural questions:","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#prose.3_reconciliation_finding.83.1","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","prose.3_reconciliation_finding.83.1","83","21b24caa5683dda697b48e7fb8bf0755e6b5a1b29a48456ea8f8e3b2fc4256d2"
"list.3_reconciliation_finding.85.7","task","stage and production Platform projects exist but are inactive; schema, data, migrations, backup, restore, and service deployment are unverified","Platform / Principal / Cursor maintenance (as labeled)","BLOCK: live/external gate named in plan item; OpenClaw fake-tier work is not live proof (docs/execution/openclawdevelopmentplan01/PHASE-13-PROVISIONAL-GROK-HANDOFF.md)","blocked","Label requires live/external proof beyond fake-tier OpenClaw work","list.3_reconciliation_finding.85.7","85","d3c0b365d58f02be1cc728dd8964e3379e2193be49054cfaef5995c051888c71"
"list.3_reconciliation_finding.86.8","task","the exact Platform token mechanism and encoding remain an ADR","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#list.3_reconciliation_finding.86.8","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","list.3_reconciliation_finding.86.8","86","e94244acff420134f2dd3deafeca9e7656b5738ec4b611288380c1ab8e0ce859"
"list.3_reconciliation_finding.87.9","task","Brain production retention durations require Principal approval","Platform / Principal / Cursor maintenance (as labeled)","BLOCK: live/external gate named in plan item; OpenClaw fake-tier work is not live proof (docs/execution/openclawdevelopmentplan01/PHASE-13-PROVISIONAL-GROK-HANDOFF.md)","blocked","Label requires live/external proof beyond fake-tier OpenClaw work","list.3_reconciliation_finding.87.9","87","8dfcd772a04bbcce498c873aec7f856e6811983085041330337e110281eb70af"
"list.3_reconciliation_finding.88.10","task","outbox capacity, retry timing, and ordinary canary event counts require measurements","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#list.3_reconciliation_finding.88.10","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","list.3_reconciliation_finding.88.10","88","e12cc17347150ca77f145d1fdc969c704b7039452f8bc655babb9d945c5d38c7"
"list.3_reconciliation_finding.89.11","task","Cursor's exposed process-argument credentials are an external launch-critical maintenance gate and are not reusable by OpenClaw","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#list.3_reconciliation_finding.89.11","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","list.3_reconciliation_finding.89.11","89","fdc514e915400b5f02aa47a06c7037be3b6b7c3e21b9ffd2474e43bc7721453b"
"list.4_non_goals_and_hard_boundaries.95.1","gate","replacing OpenClaw local memory, memory compaction, heartbeat, cron, sessions, channels, native skills, or Program Ledgers","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#list.4_non_goals_and_hard_boundaries.95.1","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","list.4_non_goals_and_hard_boundaries.95.1","95","ef95640e9ead2c74b90be9bad11622001a418a5a9905535db1e4ece7e17b430c"
"list.4_non_goals_and_hard_boundaries.96.2","gate","making GitHub, Git, a handoff folder, or LiNKbrain a live branch lock or synchronization database","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#list.4_non_goals_and_hard_boundaries.96.2","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","list.4_non_goals_and_hard_boundaries.96.2","96","96e8e99eb4c43dc739faa374c1a5e0108c69de6bfee75e47d17f47a5346950ce"
"list.4_non_goals_and_hard_boundaries.97.3","gate","combining Brain and Skills into one plugin, MCP server, credential, token, queue, state namespace, health state, telemetry stream, or rollback switch","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#list.4_non_goals_and_hard_boundaries.97.3","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","list.4_non_goals_and_hard_boundaries.97.3","97","170d23f626a2fb4e27097d3bdceea6ac1fd69d6fb91bc2a951799576b61c8d91"
"list.4_non_goals_and_hard_boundaries.98.4","gate","sending raw conversations, messages, prompts, Brain findings, private episodes, tool inputs, tool outputs, or reasoning traces to Skills","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#list.4_non_goals_and_hard_boundaries.98.4","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","list.4_non_goals_and_hard_boundaries.98.4","98","c3cd254991d10a27435f468329de3fe14605d55904dcd84bb855979008745ee2"
"list.4_non_goals_and_hard_boundaries.99.5","gate","prompt-only Skills certification, scoring, readiness, or live proof","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#list.4_non_goals_and_hard_boundaries.99.5","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","list.4_non_goals_and_hard_boundaries.99.5","99","7d9fcd2440d25a83d18a3938c1f32601cb7dee53fc8824352693d2e0634e1349"
